ticker,price,captured_at
AAPL,336.13,2026-09-21T05:19:14.486090Z
ABNB,166.22,2026-09-21T05:19:14.486090Z
ABT,102.61,2026-09-21T05:19:14.486090Z
ACB,3.87,2026-09-21T05:19:14.486090Z
ADBE,248.92,2026-09-21T05:19:14.486090Z
ADP,271.22,2026-09-21T05:19:14.486090Z
AFRM,71.21,2026-09-21T05:19:14.486090Z
AMD,559.82,2026-09-21T05:19:14.486090Z
AMGN,385.65,2026-09-21T05:19:14.486090Z
AMZN,253.71,2026-09-21T05:19:14.486090Z
AXP,311.56,2026-09-21T05:19:14.486090Z
BA,198.2,2026-09-21T05:19:14.486090Z
BAC,57.73,2026-09-21T05:19:14.486090Z
BBY,92.85,2026-09-21T05:19:14.486090Z
BLK,1069.78,2026-09-21T05:19:14.486090Z
BP,44.58,2026-09-21T05:19:14.486090Z
BRK.B,509.77,2026-09-21T05:19:14.486090Z
BUD,77.73,2026-09-21T05:19:14.486090Z
BYND,11.51,2026-09-21T05:19:14.486090Z
CAT,808.99,2026-09-21T05:19:14.486090Z
CGC,0.93,2026-09-21T05:19:14.486090Z
CLX,83.1,2026-09-21T05:19:14.486090Z
CMCSA,22.74,2026-09-21T05:19:14.486090Z
CMG,33.43,2026-09-21T05:19:14.486090Z
COIN,194.25,2026-09-21T05:19:14.486090Z
COST,895.31,2026-09-21T05:19:14.486090Z
CRM,237.92,2026-09-21T05:19:14.486090Z
CSCO,109.51,2026-09-21T05:19:14.486090Z
CVS,88.84,2026-09-21T05:19:14.486090Z
CVX,209.51,2026-09-21T05:19:14.486090Z
DAL,79.62,2026-09-21T05:19:14.486090Z
DG,122.41,2026-09-21T05:19:14.486090Z
DIS,102.67,2026-09-21T05:19:14.486090Z
DLTR,111.96,2026-09-21T05:19:14.486090Z
DPZ,294.2,2026-09-21T05:19:14.486090Z
DUK,117.53,2026-09-21T05:19:14.486090Z
ETSY,72.6,2026-09-21T05:19:14.486090Z
EXPE,279.35,2026-09-21T05:19:14.486090Z
F,13.21,2026-09-21T05:19:14.486090Z
FDX,303.65,2026-09-21T05:19:14.486090Z
GE,314.27,2026-09-21T05:19:14.486090Z
GEHC,64.13,2026-09-21T05:19:14.486090Z
GILD,150.11,2026-09-21T05:19:14.486090Z
GME,22.64,2026-09-21T05:19:14.486090Z
GOOG,344.41,2026-09-21T05:19:14.486090Z
GS,942.0,2026-09-21T05:19:14.486090Z
HD,299.98,2026-09-21T05:19:14.486090Z
HOOD,119.82,2026-09-21T05:19:14.486090Z
IBM,229.55,2026-09-21T05:19:14.486090Z
INTC,108.6,2026-09-21T05:19:14.486090Z
INTU,303.19,2026-09-21T05:19:14.486090Z
JNJ,269.99,2026-09-21T05:19:14.486090Z
JPM,349.67,2026-09-21T05:19:14.486090Z
KO,88.25,2026-09-21T05:19:14.486090Z
LLY,1152.93,2026-09-21T05:19:14.486090Z
LMT,533.38,2026-09-21T05:19:14.486090Z
LULU,98.06,2026-09-21T05:19:14.486090Z
LYFT,15.1,2026-09-21T05:19:14.486090Z
MA,565.24,2026-09-21T05:19:14.486090Z
MAR,338.92,2026-09-21T05:19:14.486090Z
MAT,13.26,2026-09-21T05:19:14.486090Z
MCD,248.24,2026-09-21T05:19:14.486090Z
META,665.75,2026-09-21T05:19:14.486090Z
MMM,165.89,2026-09-21T05:19:14.486090Z
MRK,146.87,2026-09-21T05:19:14.486090Z
MRNA,154.04,2026-09-21T05:19:14.486090Z
MSFT,493.78,2026-09-21T05:19:14.486090Z
NFLX,71.79,2026-09-21T05:19:14.486090Z
NIO,3.66,2026-09-21T05:19:14.486090Z
NKE,35.51,2026-09-21T05:19:14.486090Z
NVDA,222.27,2026-09-21T05:19:14.486090Z
ORCL,147.61,2026-09-21T05:19:14.486090Z
PEP,129.75,2026-09-21T05:19:14.486090Z
PFE,27.66,2026-09-21T05:19:14.486090Z
PG,146.39,2026-09-21T05:19:14.486090Z
PGR,213.48,2026-09-21T05:19:14.486090Z
PLTR,177.64,2026-09-21T05:19:14.486090Z
PTON,4.97,2026-09-21T05:19:14.486090Z
PYPL,52.41,2026-09-21T05:19:14.486090Z
RTX,194.0,2026-09-21T05:19:14.486090Z
SBUX,95.83,2026-09-21T05:19:14.486090Z
SHOP,128.5,2026-09-21T05:19:14.486090Z
SNAP,5.53,2026-09-21T05:19:14.486090Z
SPOT,509.45,2026-09-21T05:19:14.486090Z
T,25.4,2026-09-21T05:19:14.486090Z
TGT,158.19,2026-09-21T05:19:14.486090Z
TMUS,168.18,2026-09-21T05:19:14.486090Z
TSLA,364.27,2026-09-21T05:19:14.486090Z
UBER,70.5,2026-09-21T05:19:14.486090Z
UNH,376.9,2026-09-21T05:19:14.486090Z
UPS,99.06,2026-09-21T05:19:14.486090Z
V,368.29,2026-09-21T05:19:14.486090Z
VZ,48.09,2026-09-21T05:19:14.486090Z
WBD,27.8,2026-09-21T05:19:14.486090Z
WFC,86.12,2026-09-21T05:19:14.486090Z
WMT,106.73,2026-09-21T05:19:14.486090Z
XOM,163.54,2026-09-21T05:19:14.486090Z
ZM,88.77,2026-09-21T05:19:14.486090Z
